date,open,high,low,close,adjClose,volume
2019-01-02,245.97999572753906,251.2100067138672,245.9499969482422,250.17999267578125,223.25157165527344,126925200
2019-01-03,248.22999572753906,248.57000732421875,243.6699981689453,244.2100067138672,217.9241485595703,144140700
2019-01-04,247.58999633789062,253.11000061035156,247.1699981689453,252.38999938964844,225.22372436523438,142628800
2019-01-07,252.69000244140625,255.9499969482422,251.69000244140625,254.3800048828125,226.99952697753906,103139100
2019-01-08,256.82000732421875,257.30999755859375,254,256.7699890136719,229.1322479248047,102512600
2019-01-09,257.55999755859375,258.9100036621094,256.19000244140625,257.9700012207031,230.20306396484375,95006600
2019-01-10,256.260009765625,259.1600036621094,255.5,258.8800048828125,231.01515197753906,96823900
2019-01-11,257.67999267578125,259.010009765625,257.0299987792969,258.9800109863281,231.10438537597656,73858100
2019-01-14,256.8599853515625,258.29998779296875,256.4100036621094,257.3999938964844,229.69448852539062,70908200
2019-01-15,257.82000732421875,260.70001220703125,257.80999755859375,260.3500061035156,232.32687377929688,85208300
2019-01-16,260.8299865722656,261.9700012207031,260.6000061035156,260.9800109863281,232.88914489746094,77636700
2019-01-17,260.010009765625,263.9200134277344,259.9599914550781,262.9599914550781,234.65594482421875,96118400
2019-01-18,264.9800109863281,266.9800109863281,263,266.4599914550781,237.779296875,127900300
2019-01-22,264.82000732421875,265.05999755859375,261.05999755859375,262.8599853515625,234.56671142578125,115531200
2019-01-23,264.010009765625,264.7900085449219,260.6600036621094,263.4100036621094,235.0575714111328,86030300
2019-01-24,263.2099914550781,264.20001220703125,262.0799865722656,263.54998779296875,235.18251037597656,59204100
2019-01-25,265.6099853515625,266.70001220703125,263.6600036621094,265.7799987792969,237.1724853515625,96883400
2019-01-28,263.3900146484375,263.8299865722656,261.7900085449219,263.760009765625,235.36990356445312,85613700
2019-01-29,263.9200134277344,264.54998779296875,262.4800109863281,263.4100036621094,235.0575714111328,66136300
2019-01-30,265.1000061035156,268.5199890136719,264.25,267.5799865722656,238.7786865234375,92473700
2019-01-31,267.510009765625,270.4700012207031,267.2699890136719,269.92999267578125,240.875732421875,104012100
2019-02-01,270.1499938964844,271.20001220703125,269.17999267578125,270.05999755859375,240.99176025390625,85782500
2019-02-04,270.1099853515625,272.0299987792969,269.3599853515625,271.9599914550781,242.68728637695312,60744800
2019-02-05,272.44000244140625,273.44000244140625,271.8800048828125,273.1000061035156,243.70455932617188,79552800
2019-02-06,272.7900085449219,273.3399963378906,271.9200134277344,272.739990234375,243.38328552246094,58347800
2019-02-07,270.94000244140625,271.54998779296875,268.2900085449219,270.1400146484375,241.06314086914062,95482000
2019-02-08,268.75,270.5799865722656,267.8299865722656,270.4700012207031,241.35768127441406,75788900
2019-02-11,271.20001220703125,271.489990234375,270.0299987792969,270.6199951171875,241.49148559570312,68021400
2019-02-12,272.4200134277344,274.5199890136719,272.3399963378906,274.1000061035156,244.59693908691406,72270200
2019-02-13,275.0299987792969,275.92999267578125,274.55999755859375,274.989990234375,245.39117431640625,65277200
2019-02-14,273.7799987792969,275.6400146484375,272.8699951171875,274.3800048828125,244.84674072265625,83234400
2019-02-15,276.3599853515625,277.4100036621094,276.1300048828125,277.3699951171875,247.51492309570312,97088700
2019-02-19,276.4800109863281,278.5799865722656,276.4700012207031,277.8500061035156,247.943359375,59120800
2019-02-20,277.80999755859375,278.9200134277344,277.25,278.4100036621094,248.4429931640625,76610800
2019-02-21,277.70001220703125,278.1000061035156,276.3500061035156,277.4200134277344,247.55950927734375,64214700
2019-02-22,278.1099853515625,279.3599853515625,277.3999938964844,279.1400146484375,249.09449768066406,78114600
2019-02-25,280.7300109863281,281.30999755859375,279.42999267578125,279.5199890136719,249.43350219726562,69030700
2019-02-26,279.1300048828125,280.29998779296875,278.8999938964844,279.32000732421875,249.25509643554688,56844100
2019-02-27,278.5199890136719,279.5899963378906,277.4800109863281,279.20001220703125,249.14796447753906,56921600
2019-02-28,278.9599914550781,279.45001220703125,278.32000732421875,278.67999267578125,248.68394470214844,69268300
2019-03-01,280.44000244140625,280.8800048828125,278.82000732421875,280.4200134277344,250.23663330078125,78880500
2019-03-04,281.6000061035156,281.8699951171875,276.8399963378906,279.3999938964844,249.3264617919922,106494600
2019-03-05,279.5400085449219,279.760009765625,278.4100036621094,279.0199890136719,248.98731994628906,59114600
2019-03-06,279.1499938964844,279.1600036621094,276.9700012207031,277.3299865722656,247.47926330566406,75039800
2019-03-07,276.8299865722656,276.989990234375,274.07000732421875,275.010009765625,245.4089813232422,94885100
2019-03-08,272.94000244140625,274.6499938964844,272.4200134277344,274.4599914550781,244.9181365966797,85795800
2019-03-11,275.260009765625,278.6199951171875,275.2300109863281,278.44000244140625,248.4697265625,65098900
2019-03-12,279.05999755859375,280.07000732421875,278.8500061035156,279.489990234375,249.40675354003906,79667500
2019-03-13,280.4800109863281,282.3800048828125,280.29998779296875,281.3399963378906,251.05767822265625,80639200
2019-03-14,281.3699951171875,281.8399963378906,280.6700134277344,281.1600036621094,250.89707946777344,67518400
2019-03-15,280.5400085449219,282.2099914550781,280.3299865722656,281.30999755859375,252.1366424560547,81309000
2019-03-18,281.54998779296875,282.6600036621094,281.29998779296875,282.3299865722656,253.05084228515625,62199800
2019-03-19,283.510009765625,284.3599853515625,281.4100036621094,282.3999938964844,253.11358642578125,90268100
2019-03-20,282.1600036621094,283.5,280.32000732421875,281.54998779296875,252.35159301757812,84609200
2019-03-21,280.6400146484375,285.17999267578125,280.5899963378906,284.7300109863281,255.20191955566406,79550400
2019-03-22,283.2200012207031,283.79998779296875,279.17999267578125,279.25,250.2903289794922,122659300
2019-03-25,278.8699951171875,280.19000244140625,277.6400146484375,279.0400085449219,250.1020965576172,85575200
2019-03-26,280.989990234375,282.17999267578125,279.55999755859375,281.1199951171875,251.96620178222656,68125900
2019-03-27,281.1099853515625,281.760009765625,277.92999267578125,279.6499938964844,250.6488037109375,72224700
2019-03-28,280.3500061035156,281.2099914550781,279.07000732421875,280.7099914550781,251.59878540039062,56238500
2019-03-29,282.3900146484375,282.8399963378906,281.1400146484375,282.4800109863281,253.18527221679688,82186800
2019-04-01,284.70001220703125,286.1600036621094,284.3999938964844,285.8299865722656,256.1878356933594,77617900
2019-04-02,286.0400085449219,286.2300109863281,285.0899963378906,285.9700012207031,256.3132629394531,40070400
2019-04-03,287.32000732421875,287.760009765625,285.75,286.4200134277344,256.7165832519531,68243200
